Variety,Subgroup,Family,ISO639,Glottolog_id,AIATSISCode,StdLangID,StdLanguageName,OriginalForm,PhonemicisedIPA,Std_Gloss,Author,OriginalGloss,OriginalPofSpeech,Latitude,Longitude,Reconstruction_Form,Reconstruction_Level,Reconstruction_Gloss,Reconstruction_Notes
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏarrdji,ɖaɹɖji,urine,Bruce Waters,urine,N,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏarrk,ɖark,bite,Bruce Waters,bite,V,-12.47559654,135.0142775,*rdarrk-,Yolŋu,bite,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏarrk,ɖark,eat,Bruce Waters,eat,Vt,-12.47559654,135.0142775,*rdarrk-,Yolŋu,bite,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏawuṯ,ɖawuʈ,"climb up, ascend",Bruce Waters,go up,Vi,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏawuṯ,ɖawuʈ,"climb up, ascend",Bruce Waters,ascend,Vi,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏiḏi,ɖiɖi,stone,Bruce Waters,stone,N,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏigitjdjigi,ɖigicɟigi,itch,Bruce Waters,be itching,,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏirḏuyngu,ɖiɹɖujŋu,rainbow,Bruce Waters,rainbow,N,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏirḏuyngu,ɖiɹɖujŋu,lightning,Bruce Waters,lightning (figurative),N,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏirradjigi,ɖiraɟigi,bite,Bruce Waters,bite,V,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏirradjigi,ɖiraɟigi,eat,Bruce Waters,eat,Vt,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏirradjigi,ɖiraɟigi,drink,Bruce Waters,drink,V,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏirrpaḻ,ɖirpaɭ,tooth,Bruce Waters,tooth,N,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏirrpaḻ ḻapmiygi,ɖirpaɭ ɭapmijgi,person,Bruce Waters,be a person who has a front inscisor tooth knocked out,Phr,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏiwirri,ɖiwiri,good,Bruce Waters,good,Adj,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏiy,ɖij,hit,Bruce Waters,hit,V,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏiyḏiy,ɖijɖij,stone,Bruce Waters,small stone,N,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏiyḏiy,ɖijɖij,itch,Bruce Waters,itch,Vi,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,bandayama,bandajama,lightning,Bruce Waters,lightning,N,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏuḏurr djirrdji,ɖuɖur ɟiɹɖji,stand up,Bruce Waters,stand up,Vi,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏuḻ',ɖuɭʔ,spear,Bruce Waters,spear (onomatopoeic),,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏuḻing,ɖuɭiŋ,rotten,Bruce Waters,rotten,Adj,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏuḻing,ɖuɭiŋ,rotten,Bruce Waters,decayed,Adj,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,banimbirr,banimbir,eye,Bruce Waters,eye (metaphysical connotations),N,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏuḻuḻ,ɖuɭuɭ,swell,Bruce Waters,swell up,Vi,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏungḏungdjigi,ɖuŋɖuŋɟigi,kiss,Bruce Waters,suck,V,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏungḏungdjigi,ɖuŋɖuŋɟigi,drink,Bruce Waters,drink,V,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏungguḻ,ɖuŋguɭ,dust,Bruce Waters,dust,N,-12.47559654,135.0142775,*rduŋgurl,Yolŋu,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏungurru,ɖuŋuru,ankle,Bruce Waters,ankle,N,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏurkḏurk,ɖuɹkɖuɹk,heart,Bruce Waters,heart (the organ),N,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,bantjik,bancik,angry,Bruce Waters,anger,Adj,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏutjigi,ɖucigi,squeeze,Bruce Waters,squeeze,V,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏuwaṯ,ɖuwaʈ,"climb up, ascend",Bruce Waters,go up,Vi,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,ḏuwaṯ,ɖuwaʈ,"climb up, ascend",Bruce Waters,ascend,Vi,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,djabiri,ɟabiɹi,mouth,Bruce Waters,mouth,N,-12.47559654,135.0142775,,,,
Djinang,Yolŋu,,dji,djin1253,N94.1,1067,Djinang,djabir miniman,ɟabiɹ miniman,chin,Bruce Waters,chin,N,-12.47559654,135.0142775,,,,
