Variety,Subgroup,Family,ISO639,Glottolog_id,AIATSISCode,StdLangID,StdLanguageName,OriginalForm,PhonemicisedIPA,Std_Gloss,Author,OriginalGloss,OriginalPofSpeech,Latitude,Longitude,Reconstruction_Form,Reconstruction_Level,Reconstruction_Gloss,Reconstruction_Notes
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kinara,kinaɹa,moon,,moon,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kipirr2pa,kipirkipirpa,belly,,belly,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kilpirli,kilpiɭi,wing,,wing,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kirda-nyanu,kiʈa-ɲanu,father,,my father,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kirda-nyanu,kiʈa-ɲanu,father,,father,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kirdana,kiʈana,father,,father,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kirlilpi,kiɭilpi,bandicoot,,bandicoot sp.,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kirlpangardi,kiɭpaŋaʈi,Possum,,opossum,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kirntangi,kiɳtaŋi,moon,,moon,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,ki+ci+,ki+ci+,throw,,throw,V,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kitpit,kitpit,winnow,,winnow,V,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kukurnu,kukuɳu,younger brother,,younger brother,N,-20.58720087,131.9617683,*kukurnu,N/A,younger brother,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kuna,kuna,faeces,,excrement,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kunamaju,kunamacu,Emu,,emu,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kuny2nga,kuɲkuɲŋa,bite,,bite,V,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kuny2nga,kuɲ2ŋa,suck breast,,suck breast,V,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kurra,kura,pimple,,boil,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kurrul2pa,kurul2pa,mopoke,,mopoke,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kurrunyjuru,kuruɲcuɹu,red ochre,,red ochre,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kutukari,kutukaɹi,night,,night,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kuyu,kuju,animal meat,,meat,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kulpurlu,kulpuɭu,blood,,blood,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kunpariji,kunpaɹici,fire,,fire,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kuntukuntu,kuntukuntu,fat (n),,fat,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kuntulpa,kuntulpa,cold,,cold,Adj,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kuntulpa,kuntulpa,cold,,influenza,Adj,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kunyjuru,kuɲcuɹu,smoke,,smoke,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kurdiji,kuʈici,shield,,shield,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kurdu,kuʈu,child,,child,N,-20.58720087,131.9617683,*kurtu,N/A,child,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kurlarda,kuɭaʈa,spear,,a spear,,-20.58720087,131.9617683,*kurrcarta,N/A,spear,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kurlirra,kuɭira,south,,south,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kurlulu,kuɭulu,south,,southwards,,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kurlulumpayi,kuɭulumpaji,inside,,in the south,,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kurninka,kuɳinka,native cat,,native cat,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kurturdurru,kuʈuʈuru,heart,,heart,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kurnta,kuɳta,shame,,shame,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kurnta,kuɳta,shame,,failure,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kurnturru,kuɳturu,sky,,sky,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kurntjarri,kuɳcari,ashamed,,ashamed /,,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kurntjarri,kuɳcari,shy/ashamed,,shy /,,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kurntjarri,kuɳcari,ashamed,,embarrassed,Adj,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kurrparu,kurpaɹu,Magpie,,magpie,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kuurlmarda,kuːɭmaʈa,squeeze,,squeeze.,,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kuurr2pa,kuːrkuːrpa,mopoke,,bird sp. owl boobook,,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,kuurrkuurrpa,kuːrkuːrpa,owl,,owl,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,maliki,maliki,dog,,dog,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,mangulpa,maŋulpa,spear,,a spear,,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,maru,maɹu,black,,any black object,,-20.58720087,131.9617683,*maṛu,Northern-Thura-Yura,black,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,maru,maɹu,black,,black - as dog,Adj,-20.58720087,131.9617683,*maṛu,Northern-Thura-Yura,black,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,mawu,mawu,urine,,urine,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,malpa,malpa,boomerang,,boomerang,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,mangkurdu,maŋkuʈu,cloud,,cloud,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,marnilpa,maɳilpa,hair of head,,hair of head,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,martiny2pa,maʈiɲ2pa,lightning,,lightning,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,marnkurrpa,maɳkurpa,three,,three,Num,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,mijilijili,micilicili,navel,,navel,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,mijilijili,micilicili,navel,,navel,N,-20.58720087,131.9617683,,,,
Warlpiri,Ngumpin-Yapa,,wbp,warl1254,C41*,192,Warlpiri,mikinpa,mikinpa,sick,,sick,Adj,-20.58720087,131.9617683,,,,
