"69","Gamilaraay",,"Central NSW",,,,,"majraː","wind","ash03",,"N",,,,
"69","Gamilaraay",,"Central NSW",,,,,"jinar","woman","ash03",,"N","*yinarr","","woman",""
"69","Gamilaraay",,"Central NSW",,,,,"paluki","die","ash03",,"V","*palu-ki","","die",""
"69","Gamilaraay",,"Central NSW",,,,,"kaː.ki","take","ash03",,"Vt","*ka:","","carry",""
"69","Gamilaraay",,"Central NSW",,,,,"waː.li","throw","ash03",,"V",,,,
"69","Gamilaraay",,"Central NSW",,,,,"t̪uri","spear","ash03",,"N","*thu-rri","","spear",""
"69","Gamilaraay",,"Central NSW",,,,,"kintamaj","laugh","ash03",,"V","*kintama-y","","",""
"69","Gamilaraay",,"Central NSW",,,,,"marapaː","good","ash03",,"Adj",,,,
"69","Gamilaraay",,"Central NSW",,,,,"kakil","bad","ash03",,"Adj","*kaca","","rotten",""
"69","Gamilaraay",,"Central NSW",,,,,"mawuki","dig","ash03",,"V","*mawu-ki","","dig",""
"69","Gamilaraay",,"Central NSW",,,,,"pakaj","creek","ash03",,"N",,,,
"69","Gamilaraay",,"Central NSW",,,,,"ŋuruku","tomorrow","ash03",,"Adv",,,,
"69","Gamilaraay",,"Central NSW",,,,,"kulipaː","three","ash03",,"Num",,,,
"69","Gamilaraay",,"Central NSW",,,,,"kuwiːn","near","ash03",,"Adv","*kuwi:npa:","","near",""
"69","Gamilaraay",,"Central NSW",,,,,"ŋuɹu","he","ash03",,"Pro",,,,
"69","Gamilaraay",,"Central NSW",,,,,"paran","boomerang","ash03",,"N","*parran","","boomerang","or cognate with 4985?"
"69","Gamilaraay",,"Central NSW",,,,,"puriːn","shield","ash03",,"N","*purri:n","","shield",""
"69","Gamilaraay",,"Central NSW",,,,,"wiriːl","feather","ash03",,"N",,,,
"69","Gamilaraay",,"Central NSW",,,,,"mut̪aj","possum","ash03",,"N","*muthay","","possum",""
"69","Gamilaraay",,"Central NSW",,,,,"kulajaːli","pelican","ash03",,"N","*kulaya:li","","pelican",""
"69","Gamilaraay",,"Central NSW",,,,,"kuja","fish","ash03",,"N",,,,
"69","Gamilaraay",,"Central NSW",,,,,"muŋin","mosquito","ash03",,"N","*muŋin","","mosquito",""
"69","Gamilaraay",,"Central NSW",,,,,"kaɹaːr","grass","ash03",,"N",,,,
"69","Gamilaraay",,"Central NSW",,,,,"kuntaː","cloud","ash03",,"N",,,,
"69","Gamilaraay",,"Central NSW",,,,,"kaɹaːj","sand","ash03",,"N",,,,
"69","Gamilaraay",,"Central NSW",,,,,"mat̪anpaː","heavy","ash03",,"Adj","*manthanpa:","","heavy",""
"69","Gamilaraay",,"Central NSW",,,,,"kapanpaː","light","ash03",,"N","*kapanpa:","","light",""
"69","Gamilaraay",,"Central NSW",,,,,"palal","dry","ash03",,"Adj",,,,
"69","Gamilaraay",,"Central NSW",,,,,"kanaj","yamstick, digging stick","ash03",,"N","*kana","","digging stick",""
"69","Gamilaraay",,"Central NSW",,,,,"t̪uliː","goanna","ash03",,"N","*thuli:yn","","sand goanna",""
