Record_ID,Variety_ID,Variety,StdLanguageName,StdLangID,Subgroup,Family,OriginalForm,OriginalGloss,OriginalPofSpeech,StdPoS,Std_Gloss,StdGloss_ID,WordNetForm,SemanticField,GeneralNote,PhonemicisedIPA,PhonemicisedForm,REC@LoanCode,REC@LoanSource,RecCounter,SourceNote,SourcePages,SourcePriority,AIATSISCode,Ascii_Name,Glottolog_id,ISO639,Latitude,Longitude,Shortcode,Author,Year,Reconstruction_Form,Reconstruction_ID,Reconstruction_Level,Reconstruction_Gloss,Reconstruction_Notes
5137,103374,1177,Gunggari,941,Maric,Pama-Nyungan,mari,"man, Aboriginal man",N,N,Aborigine,178,aborigine.n.02,HUMAN,,mari,maÉ_i,,,93672,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5138,103376,1177,Gunggari,941,Maric,Pama-Nyungan,mari mari,"boy, son",N,N,son,2291,son.n.01,KINSHIP,,mari mari,maÉ_i maÉ_i,,,93674,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5139,103379,1177,Gunggari,941,Maric,Pama-Nyungan,mida,charcoal,N,N,charcoal,541,charcoal.n.01,FIRE,,mita,mita,,,93677,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5140,103381,1177,Gunggari,941,Maric,Pama-Nyungan,migany,"good, well, right, straight, proper, nice, pretty, tasty",N,N,good,1446,good.a.01,QUALITY,,mikany,mikaÉ_,,,93679,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5141,103383,1177,Gunggari,941,Maric,Pama-Nyungan,mila mila,poor,Adj,Adj,poor,3235,poor.a.02,,,mila mila,mila mila,,,93681,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5142,103384,1177,Gunggari,941,Maric,Pama-Nyungan,milgana,(cow's) milk,N,N,milk,84,milk.n.01,BODY,,milkana,milkana,,,93682,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5143,103385,1177,Gunggari,941,Maric,Pama-Nyungan,mindi banbu,emu,N,N,Emu,825,emu.n.02,BIRD,,minti panpu,minti panpu,,,93683,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5144,103386,1177,Gunggari,941,Maric,Pama-Nyungan,mindyuma-,visit,Vt,Vt,visit,5892,visit.v.01,,,mintyuma,mincuma,,,93684,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5145,103390,1177,Gunggari,941,Maric,Pama-Nyungan,mirr mirr,mate(s) (from English mate),N,N,spouse,227,spouse.n.01,KINSHIP,,mirr mirr,mir mir,,,93688,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5146,103391,1177,Gunggari,941,Maric,Pama-Nyungan,mirili-,shine,V,V,shine,2383,reflect.v.04,,,mirili,miÉ_ili,,,93689,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5147,103392,1177,Gunggari,941,Maric,Pama-Nyungan,mugabaran,blind,Adj,Adj,blind,1404,blind.a.01,QUALITY,,mukaparan,mukapaÉ_an,,,93690,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5148,103393,1177,Gunggari,941,Maric,Pama-Nyungan,mugal,eye,N,N,eye,14,eye.n.01,BODY,,mukal,mukal,,,93691,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5149,103408,1177,Gunggari,941,Maric,Pama-Nyungan,mundangarra,"rainbow, portent of death",N,N,rainbow,578,rainbow.n.01,SKY,,muntaÅ‹arra,muntaÅ‹ara,,,93706,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5150,103411,1177,Gunggari,941,Maric,Pama-Nyungan,munin,spider,N,N,spider,1182,spider.n.01,INSECT,,munin,munin,,,93709,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5151,103412,1177,Gunggari,941,Maric,Pama-Nyungan,murra,dog,N,N,dog,2207,dog.n.01,MAMMAL,,murra,mura,,,93710,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5152,103418,1177,Gunggari,941,Maric,Pama-Nyungan,naga-,"see, look (at)",V,V,see,2220,see.v.01,BODY,,naka,naka,,,93716,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5153,103421,1177,Gunggari,941,Maric,Pama-Nyungan,nagalgi-,"look for, find",Vt,Vt,search,2699,search.v.02,,,nakalki,nakalki,,,93719,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5154,103422,1177,Gunggari,941,Maric,Pama-Nyungan,ngagaligi-,"look for, find",Vt,Vt,search,2699,search.v.02,,,Å‹akaliki,Å‹akaliki,,,93720,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5155,103776,1177,Gunggari,941,Maric,Pama-Nyungan,nandi,"ground, earth, sand, dirt, outside",N,N,earth,621,earth.n.02,EARTH,,nanti,nanti,,,94072,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5156,103783,1177,Gunggari,941,Maric,Pama-Nyungan,nimun,fly,N,N,fly,2574,fly.n.01,INSECT,,nimun,nimun,,,94079,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5157,103794,1177,Gunggari,941,Maric,Pama-Nyungan,wada,crow,N,N,Crow,872,crow.n.01,BIRD,,wata,wata,,,94090,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5158,103799,1177,Gunggari,941,Maric,Pama-Nyungan,waduma-,make,V,V,make,2558,make.v.03,,,watuma,watuma,,,94095,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5159,103800,1177,Gunggari,941,Maric,Pama-Nyungan,wadya-,"walk, go, come",Vi,Vi,walk,1486,walk.v.01,MOTION,,watya,waca,,,94096,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5160,103801,1177,Gunggari,941,Maric,Pama-Nyungan,warda-,"walk, go, come",Vi,Vi,walk,1486,walk.v.01,MOTION,,warta,waÊˆa,,,94097,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5161,103802,1177,Gunggari,941,Maric,Pama-Nyungan,wardali-,"walk about, ache(?)",v itr,v itr,walk,1486,walk.v.01,MOTION,,wartali,waÊˆali,,,94098,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5162,103805,1177,Gunggari,941,Maric,Pama-Nyungan,wagal,eel,N,N,eel,2446,eel.n.02,FISH,,wakal,wakal,,,94101,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5163,103806,1177,Gunggari,941,Maric,Pama-Nyungan,wagali-,run,Vi,Vi,run,1487,run.v.01,MOTION,,wakali,wakali,,,94102,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
