Record_ID,Variety_ID,Variety,StdLanguageName,StdLangID,Subgroup,Family,OriginalForm,OriginalGloss,OriginalPofSpeech,StdPoS,Std_Gloss,StdGloss_ID,WordNetForm,SemanticField,GeneralNote,PhonemicisedIPA,PhonemicisedForm,REC@LoanCode,REC@LoanSource,RecCounter,SourceNote,SourcePages,SourcePriority,AIATSISCode,Ascii_Name,Glottolog@id,Latitude,Longitude,Shortcode,Author,Year,Reconstruction_Form,Reconstruction_ID,Reconstruction_Level,Reconstruction_Gloss,Reconstruction_Notes
1,1105,69,Gamilaraay,1023,Central NSW,Pama-Nyungan,girran,ashes,N,N,ashes,579,ash.n.01,FIRE,,kirran,kiran,,,1105,,,1,D23,Gamilaraay,gami1243,kld,-29.91686548,149.6172319,ash03,"Ash, A. and Lissarrague, A. and Giacon, J",2003,*paka,1105,,dig
2,1107,69,Gamilaraay,1023,Central NSW,Pama-Nyungan,yii-li,bite,V,V,bite,1726,bite.v.01,BODY,,yi:li,yiËêli,,,1107,,,1,D23,Gamilaraay,gami1243,kld,-29.91686548,149.6172319,ash03,"Ash, A. and Lissarrague, A. and Giacon, J",2003,*pac(y)a,1107,,bite
3,1108,69,Gamilaraay,1023,Central NSW,Pama-Nyungan,buluuy,black,Adj,Adj,black,1319,black.a.01,COLOUR,,pulu:y,puluËêy,,,1108,,,1,D23,Gamilaraay,gami1243,kld,-29.91686548,149.6172319,ash03,"Ash, A. and Lissarrague, A. and Giacon, J",2003,*puÃ±ca,1108,,lick
